Номер указания,Продукция (ввоз)
ФС-АРэ-7/3642-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3642-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3642-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3650-3,восприимчивые к нодулярному дерматиту животные (в том числе крупный рогатый скот)
ФС-АРэ-7/3650-3,"продукция полученная от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного рогатого скота), без надлежащей обработки, обеспечивающей разрушение вируса нодулярного дерматита, необработанное кожевенное сырьё, полученное от убоя восприимчивых к нодулярному дерматиту видов животных (в том числе полученное от убойного крупного рогатого скота),  генетический материал от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупног"
ФС-АРэ-7/3649-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3649-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3649-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3649-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3651-3,"живых овец и коз, а также восприимчивых к указанному заболеванию животных, продукции, полученной из мясосырья овец и коз, молока и молочных продуктов кормов животного происхождения и другого сырья и изделий, полученных от убоя овец и коз, бывшего в употреблении оборудования для их содержания, убоя и переработки с территории Бутана."
ФС-АРэ-7/3652-3,"живой птицы и инкубационного яйца, мяса птицы, готовой мясной продукции из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц (согласно положениям статьи 10.4 Кодекса здоровья наземных животных МЭБ), кормов и кормовых добавок для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза), бывшего в употреблении оборудования для содержания, убоя и разд"
ФС-АРэ-7/3653-3,"живой птицы и инкубационного яйца, мяса птицы, готовой мясной продукции из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц (согласно положениям статьи 10.4 Кодекса здоровья наземных животных МЭБ), кормов и кормовых добавок для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза), бывшего в употреблении оборудования для содержания, убоя и разд"
ФС-АРэ-7/3661-3,"живой птицы и инкубационного яйца, мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25, 10.4.26 Кодекса здоровья наземных животных МЭБ, готовой продукции из птицы или содержащей в своём составе продукты переработки птицы,  кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а т"
ФС-АРэ-7/3662-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3662-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3662-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
